target,mae,rmse,r2,best_max_depth,best_learning_rate,cv_mean_rmse,cv_std_rmse,best_iteration
target_24h,0.8915293434439185,1.0652327050582029,-0.3167886571957528,4,0.1,0.631766582247693,0.10363359312886196,
target_48h,1.1102081270522723,1.3613339746004955,-1.0256061090321804,4,0.1,0.7551177865817309,0.15344134169078963,
target_72h,1.3934631022045156,1.600350657839853,-1.6966876044296617,4,0.1,0.7820456274457603,0.175878273458106,
