date,aqi_index,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,pressure,wind_speed
2024-11-07,,,,,,,,,,27.9,78.0,1013.2,11.9
2024-11-08,101.29926555856204,654.733076923077,0.2276923076923077,24.293846153846154,51.41538461538461,5.702307692307692,35.621538461538464,69.13153846153847,6.137692307692307,27.2,78.0,1013.9,11.2
2024-11-09,91.29017295597484,497.20208333333335,0.5279166666666667,14.2875,67.17375,4.6000000000000005,29.96666666666667,62.33916666666667,3.9879166666666666,27.2,77.0,1014.4,11.5
2024-11-10,111.62282244556114,603.7345833333333,1.3191666666666666,18.110416666666666,62.43625,5.122916666666667,39.814166666666665,92.01166666666667,5.007083333333333,27.2,78.0,1013.6,10.7
2024-11-11,152.9080655075518,843.7816666666666,4.72125,25.23625,57.19375,7.28375,59.19541666666667,149.26500000000001,7.695416666666667,27.4,75.0,1012.9,7.6
2024-11-12,168.33674042852124,1505.0966666666666,15.53125,38.85666666666666,43.745000000000005,10.777916666666668,89.07666666666667,191.13708333333332,13.135416666666666,26.9,67.0,1012.0,6.1
2024-11-13,182.77125922023183,2115.369166666667,21.607916666666668,56.334583333333335,36.550000000000004,15.487916666666665,117.03250000000001,196.44916666666666,18.375416666666666,26.8,58.0,1013.2,7.2
2024-11-14,174.15237091675448,2112.4479166666665,17.930833333333332,58.149166666666666,46.809583333333336,17.455000000000002,100.33999999999999,146.49208333333334,19.68875,26.9,55.0,1013.6,7.7
2024-11-15,149.84815745393638,1069.9225,6.49125,32.33708333333333,70.51208333333334,12.045416666666666,55.33833333333334,88.50083333333333,10.170416666666666,26.7,67.0,1013.1,6.4
2024-11-16,157.09660168598526,1361.7083333333333,7.458333333333333,41.53333333333333,52.58583333333333,9.5625,67.3075,125.97333333333334,9.498333333333333,26.7,68.0,1013.5,7.0
2024-11-17,201.34767267267267,2690.594583333333,9.082916666666668,82.49666666666667,70.42833333333333,23.78708333333333,150.85083333333333,224.73833333333334,19.733333333333334,27.2,53.0,1014.7,7.5
2024-11-18,305.96527777777777,4392.067916666667,17.014166666666664,140.33208333333334,63.166666666666664,51.6475,255.51041666666666,349.19,42.82749999999999,26.8,53.0,1015.4,7.5
2024-11-19,210.449512012012,2985.9933333333333,13.13,90.895,66.48791666666666,30.616666666666664,160.03541666666666,223.29958333333332,30.077083333333334,26.1,59.0,1014.4,6.8
2024-11-20,186.15410080786793,2553.1854166666667,18.717499999999998,69.57375,50.872083333333336,23.787499999999998,123.58416666666666,173.07500000000002,23.977083333333336,25.9,67.0,1014.0,6.7
2024-11-21,168.70312170706006,1823.0279166666667,15.082500000000001,47.21458333333333,55.763749999999995,13.445833333333333,89.78625,126.755,12.860833333333332,26.2,65.0,1013.4,7.7
2024-11-22,161.25932121531437,1602.7291666666667,13.542916666666668,44.25208333333333,57.22625,11.927916666666667,75.36958333333334,104.555,11.723333333333334,26.4,65.0,1013.8,7.5
2024-11-23,147.33557370184252,1231.80875,6.928333333333334,37.443333333333335,53.01083333333333,8.84875,54.31791666666666,77.92458333333333,9.593333333333334,26.1,67.0,1014.5,6.5
2024-11-24,500.0,2500.891666666667,15.786666666666667,72.07958333333333,47.55583333333333,18.186666666666667,115.45666666666666,154.89000000000001,17.138333333333332,25.7,50.0,1015.3,6.6
2024-11-25,264.28716216216213,4004.87625,23.873333333333335,118.42791666666666,53.43833333333333,49.36166666666667,214.36249999999998,282.6025,40.99,25.6,62.0,1014.7,5.7
2024-11-26,227.88063063063063,3617.6845833333336,40.083333333333336,87.07375,38.22208333333333,24.3925,177.625,240.25583333333336,28.775833333333335,26.4,72.0,1013.2,6.2
2024-11-27,158.2125263435195,1455.8637500000002,9.442083333333334,42.9475,45.37416666666667,9.660416666666666,69.46875,122.29875,11.149166666666666,25.7,76.0,1013.9,5.7
2024-11-28,192.22058306989814,2886.4150000000004,27.581666666666667,77.28625,37.23083333333334,17.764583333333334,135.33333333333334,181.15166666666667,15.851666666666667,25.4,73.0,1014.6,6.0
2024-11-29,179.38260888654725,2477.805,21.682083333333335,67.91791666666667,42.42333333333334,22.59625,110.46958333333333,151.63833333333335,17.31,25.9,49.0,1013.8,8.1
2024-11-30,181.48967773094483,1582.7016666666666,5.389583333333333,41.81333333333333,82.41333333333334,33.279583333333335,114.55041666666666,189.8525,15.456666666666665,24.8,41.0,1012.0,7.3
2024-12-01,235.10247747747746,2658.8833333333337,5.112916666666666,79.27041666666666,71.115,42.538333333333334,184.9125,260.96125,28.456666666666667,25.1,40.0,1012.5,7.2
2024-12-02,234.88033033033037,2997.6766666666667,15.491666666666667,79.20541666666666,64.96041666666666,39.63666666666666,184.68833333333336,264.5441666666667,36.95916666666667,25.6,43.0,1014.7,12.5
2024-12-03,188.53588777219426,1015.8220833333334,0.8904166666666665,23.112916666666667,100.34416666666665,20.22625,93.24708333333332,151.16291666666666,11.679166666666667,25.1,43.0,1015.6,11.5
2024-12-04,180.71044520547946,1384.0991666666666,0.6745833333333334,33.15208333333333,94.98,24.826666666666668,113.04125,175.89416666666668,16.51625,24.2,52.0,1014.8,6.1
2024-12-05,230.5368993993994,3069.4408333333336,18.2225,79.32791666666667,54.405,26.517083333333332,180.30541666666667,247.08666666666667,29.746666666666666,23.1,55.0,1013.3,6.7
2024-12-06,278.32785285285286,3824.0750000000003,26.584999999999997,102.01875,59.05375,37.26208333333333,228.53083333333333,299.4241666666667,33.29625,22.4,25.0,1012.7,8.3
