date,aqi_index,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,pressure,wind_speed,day_of_week,month,season,is_weekend,aqi_lag_1,aqi_lag_2,aqi_lag_7,aqi_3day_avg,aqi_7day_avg,aqi_30day_avg,temp_humidity_interaction,pressure_wind_interaction,pm25_pm10_ratio,co_no2_ratio
2025-01-17,4.25,1266.7175,1.9479166666666667,30.96625,101.95375,27.32375,99.47125,151.5375,14.811666666666666,19.5,37.0,1018.3,12.7,4,1,1,0,5.0,4.916666666666667,5.0,4.722222222222221,4.863095238095239,4.776388888888889,721.5,12932.409999999998,0.6564134246875301,40.90638870039515
2025-01-18,5.0,1253.9229166666669,0.9966666666666666,31.69083333333333,103.5325,28.1525,106.2975,152.31041666666667,13.800833333333337,19.6,36.0,1015.5,10.8,5,1,1,1,4.25,5.0,4.875,4.749999999999999,4.880952380952381,4.791666666666667,705.6,10967.400000000001,0.697900390718076,39.56736839041674
2025-01-19,5.0,2195.2000000000003,4.88,63.07708333333333,83.84166666666667,31.629583333333333,160.51250000000002,211.17291666666665,22.93166666666667,20.1,33.0,1015.9,7.6,6,1,1,1,5.0,4.25,5.0,4.749999999999999,4.880952380952381,4.798611111111112,663.3000000000001,7720.839999999999,0.7600998355923966,34.8018622484099
2025-01-20,5.0,4159.5304166666665,20.715,106.73166666666668,61.45791666666667,38.6825,290.71166666666664,355.5520833333333,42.19375,20.4,40.0,1015.7,7.8,0,1,1,0,5.0,5.0,5.0,5.0,4.880952380952381,4.8125,816.0,7922.46,0.8176345449127554,38.97184882051391
2025-01-21,4.791666666666667,3491.400833333333,9.700833333333334,92.62208333333332,109.48666666666666,31.709166666666665,294.61,349.3475,32.74583333333333,19.9,57.0,1014.7,7.7,1,1,1,0,5.0,5.0,5.0,4.9305555555555545,4.851190476190476,4.826388888888888,1134.3,7813.1900000000005,0.8433150349056024,37.6951226963139
2025-01-22,4.333333333333333,2285.877916666667,10.144166666666669,65.53208333333333,56.990833333333335,18.54,114.13375,150.81208333333333,21.1525,20.5,57.0,1014.9,7.6,2,1,1,0,4.791666666666667,5.0,4.916666666666667,4.708333333333333,4.767857142857143,4.804166666666666,1168.5,7713.24,0.756794460500494,34.881813083182216
2025-01-23,4.083333333333333,1992.7025,7.627083333333334,54.30791666666666,68.2075,27.299166666666665,95.55333333333334,129.82958333333332,26.762083333333333,20.5,29.0,1017.3,9.4,3,1,1,0,4.333333333333333,4.791666666666667,5.0,4.402777777777778,4.636904761904762,4.773611111111111,594.5,9562.62,0.7359904433492077,36.692669975506895
2025-01-24,4.125,1946.5283333333332,5.485416666666667,53.3225,81.1525,32.251666666666665,85.51916666666666,118.89125,26.77875,20.4,27.0,1016.9,11.0,4,1,1,0,4.083333333333333,4.333333333333333,4.25,4.1805555555555545,4.6190476190476195,4.7444444444444445,550.8,11185.9,0.7193058021289276,36.50482060722046
2025-01-25,4.583333333333333,3670.53375,28.5675,88.86666666666667,53.51416666666668,31.62,170.85416666666666,223.2,40.05166666666667,20.3,28.0,1016.1,7.9,5,1,1,1,4.125,4.083333333333333,5.0,4.263888888888888,4.559523809523809,4.738888888888889,568.4,8027.1900000000005,0.7654756536791713,41.303830180377005
2025-01-26,4.875,3222.147916666667,8.404166666666667,91.70875,94.15666666666668,26.633750000000003,210.16416666666663,268.4108333333333,30.92125,19.6,50.0,1014.7,7.0,6,1,1,1,4.583333333333333,4.125,5.0,4.527777777777778,4.541666666666666,4.734722222222222,980.0000000000001,7102.900000000001,0.7829943496456203,35.134574198558944
2025-01-27,4.916666666666667,4789.830416666667,31.346666666666664,121.66791666666668,70.90416666666665,30.959166666666665,316.52416666666664,392.87875,36.02458333333333,19.9,66.0,1012.7,6.3,0,1,1,0,4.875,4.583333333333333,5.0,4.791666666666667,4.529761904761904,4.7444444444444445,1313.3999999999999,6380.01,0.8056535657910057,39.36806438809411
2025-01-28,4.208333333333333,2223.8491666666664,15.282916666666669,61.83708333333333,55.38541666666666,19.857916666666668,137.495,197.30416666666667,18.558333333333334,20.4,75.0,1012.1,6.9,1,1,1,0,4.916666666666667,4.875,4.791666666666667,4.666666666666666,4.446428571428571,4.730555555555555,1530.0,6983.490000000001,0.6968681991162468,35.96303400527406
2025-01-29,3.875,929.31625,4.4991666666666665,26.69666666666667,68.95541666666666,8.215416666666668,58.16875,125.2725,8.040833333333333,21.6,77.0,1012.8,8.8,2,1,1,0,4.208333333333333,4.916666666666667,4.333333333333333,4.333333333333333,4.3809523809523805,4.695833333333334,1663.2,8912.64,0.46433774001207184,34.81019659844437
2025-01-30,3.875,1680.611666666667,14.203333333333331,40.46375,86.62458333333332,20.668333333333333,97.1725,162.91541666666666,17.8175,21.1,44.0,1012.6,9.3,3,1,1,0,3.875,4.208333333333333,4.083333333333333,3.9861111111111107,4.351190476190476,4.658333333333333,928.4000000000001,9417.18,0.596459815723641,41.53375861438716
2025-01-31,3.208333333333333,705.9558333333333,2.1454166666666667,21.99833333333333,84.54875,18.0825,32.3525,75.59375,8.85125,19.1,33.0,1011.9,10.1,4,1,1,0,3.875,3.875,4.125,3.6527777777777772,4.220238095238096,4.598611111111111,630.3000000000001,10220.189999999999,0.4279784978522894,32.09133121791054
2025-02-01,4.666666666666667,2331.772916666667,11.777916666666664,72.28750000000001,75.17625,35.72291666666667,130.35416666666666,193.60958333333332,29.617083333333337,18.8,39.0,1014.3,7.9,5,2,1,1,3.208333333333333,3.875,4.583333333333333,3.916666666666666,4.232142857142857,4.5875,733.2,8012.97,0.6732836451021907,32.256930788998595
