date,aqi_index,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,pressure,wind_speed
2025-11-09,201.5789778714436,105.3125,0.0033333333333333335,0.07916666666666668,105.65499999999999,0.33249999999999996,24.375416666666666,79.78791666666666,0.0,23.7,73.0,1013.2,6.7
2025-11-10,189.41616415410385,107.61125,0.0025,0.05291666666666667,100.70166666666667,0.23625,21.239166666666666,63.19875,0.0,23.3,73.0,1014.7,7.1
2025-11-11,184.12116834170854,103.84083333333332,0.0,0.04,98.55125,0.20291666666666666,18.159583333333334,45.44958333333333,0.0,23.8,68.0,1016.0,7.1
